Date,Open,High,Low,Close,Adj Close,Volume,var1(t-5),var1(t-4),var1(t-3),var1(t-2),var1(t-1),previous-close,movement
2016-08-01,104.41,106.15,104.41,106.05,100.55,38167900,97.34,96.67,102.95,104.34,104.21,104.21,up
2016-08-02,106.05,106.07,104.0,104.48,99.06,33816600,96.67,102.95,104.34,104.21,106.05,106.05,down
2016-08-03,104.81,105.84,104.77,105.79,100.3,30202600,102.95,104.34,104.21,106.05,104.48,104.48,up
2016-08-04,105.58,106.0,105.28,105.87,100.92,27408700,104.34,104.21,106.05,104.48,105.79,105.79,up
2016-08-05,106.27,107.65,106.18,107.48,102.45,40553400,104.21,106.05,104.48,105.79,105.87,105.87,up
2016-08-08,107.52,108.37,107.16,108.37,103.3,28037200,106.05,104.48,105.79,105.87,107.48,107.48,up
2016-08-09,108.23,108.94,108.01,108.81,103.72,26315200,104.48,105.79,105.87,107.48,108.37,108.37,up
2016-08-10,108.71,108.9,107.76,108.0,102.95,24008500,105.79,105.87,107.48,108.37,108.81,108.81,down
2016-08-11,108.52,108.93,107.85,107.93,102.88,27484500,105.87,107.48,108.37,108.81,108.0,108.0,down
2016-08-12,107.78,108.44,107.78,108.18,103.12,18660400,107.48,108.37,108.81,108.0,107.93,107.93,up
2016-08-15,108.14,109.54,108.08,109.48,104.36,25868200,108.37,108.81,108.0,107.93,108.18,108.18,up
2016-08-16,109.63,110.23,109.21,109.38,104.27,33794400,108.81,108.0,107.93,108.18,109.48,109.48,down
2016-08-17,109.1,109.37,108.34,109.22,104.11,25356000,108.0,107.93,108.18,109.48,109.38,109.38,down
2016-08-18,109.23,109.6,109.02,109.08,103.98,21984700,107.93,108.18,109.48,109.38,109.22,109.22,down
2016-08-19,108.77,109.69,108.36,109.36,104.25,25368100,108.18,109.48,109.38,109.22,109.08,109.08,up
2016-08-22,108.86,109.1,107.85,108.51,103.44,25820200,109.48,109.38,109.22,109.08,109.36,109.36,down
2016-08-23,108.59,109.32,108.53,108.85,103.76,21257700,109.38,109.22,109.08,109.36,108.51,108.51,up
2016-08-24,108.57,108.75,107.68,108.03,102.98,23675100,109.22,109.08,109.36,108.51,108.85,108.85,down
2016-08-25,107.39,107.88,106.68,107.57,102.54,25086200,109.08,109.36,108.51,108.85,108.03,108.03,down
2016-08-26,107.41,107.95,106.31,106.94,101.94,27766300,109.36,108.51,108.85,108.03,107.57,107.57,down
2016-08-29,106.62,107.44,106.29,106.82,101.82,24970300,108.51,108.85,108.03,107.57,106.94,106.94,down
2016-08-30,105.8,106.5,105.5,106.0,101.04,24863900,108.85,108.03,107.57,106.94,106.82,106.82,down
2016-08-31,105.66,106.57,105.64,106.1,101.14,29662400,108.03,107.57,106.94,106.82,106.0,106.0,up
2016-09-01,106.14,106.8,105.62,106.73,101.74,26701500,107.57,106.94,106.82,106.0,106.1,106.1,up
2016-09-02,107.7,108.0,106.82,107.73,102.69,26802500,106.94,106.82,106.0,106.1,106.73,106.73,up
2016-09-06,107.9,108.3,107.51,107.7,102.66,26880400,106.82,106.0,106.1,106.73,107.73,107.73,down
2016-09-07,107.83,108.76,107.07,108.36,103.29,42364300,106.0,106.1,106.73,107.73,107.7,107.7,up
2016-09-08,107.25,107.27,105.24,105.52,100.59,53002000,106.1,106.73,107.73,107.7,108.36,108.36,down
2016-09-09,104.64,105.72,103.13,103.13,98.31,46557000,106.73,107.73,107.7,108.36,105.52,105.52,down
2016-09-12,102.65,105.72,102.53,105.44,100.51,45292800,107.73,107.7,108.36,105.52,103.13,103.13,up
2016-09-13,107.51,108.79,107.24,107.95,102.9,62176200,107.7,108.36,105.52,103.13,105.44,105.44,up
2016-09-14,108.73,113.03,108.6,111.77,106.54,110888700,108.36,105.52,103.13,105.44,107.95,107.95,up
2016-09-15,113.86,115.73,113.49,115.57,110.17,89983600,105.52,103.13,105.44,107.95,111.77,111.77,up
2016-09-16,115.12,116.13,114.04,114.92,109.55,79886900,103.13,105.44,107.95,111.77,115.57,115.57,down
2016-09-19,115.19,116.18,113.25,113.58,108.27,47023000,105.44,107.95,111.77,115.57,114.92,114.92,down
2016-09-20,113.05,114.12,112.51,113.57,108.26,34514300,107.95,111.77,115.57,114.92,113.58,113.58,down
2016-09-21,113.85,113.99,112.44,113.55,108.24,36003200,111.77,115.57,114.92,113.58,113.57,113.57,down
2016-09-22,114.35,114.94,114.0,114.62,109.26,31074000,115.57,114.92,113.58,113.57,113.55,113.55,up
2016-09-23,114.42,114.79,111.55,112.71,107.44,52481200,114.92,113.58,113.57,113.55,114.62,114.62,down
2016-09-26,111.64,113.39,111.55,112.88,107.6,29869400,113.58,113.57,113.55,114.62,112.71,112.71,up
2016-09-27,113.0,113.18,112.34,113.09,107.8,24607400,113.57,113.55,114.62,112.71,112.88,112.88,up
2016-09-28,113.69,114.64,113.43,113.95,108.62,29641100,113.55,114.62,112.71,112.88,113.09,113.09,up
2016-09-29,113.16,113.8,111.8,112.18,106.93,35887000,114.62,112.71,112.88,113.09,113.95,113.95,down
2016-09-30,112.46,113.37,111.8,113.05,107.76,36379100,112.71,112.88,113.09,113.95,112.18,112.18,up
2016-10-03,112.71,113.05,112.28,112.52,107.26,21701800,112.88,113.09,113.95,112.18,113.05,113.05,down
2016-10-04,113.06,114.31,112.63,113.0,107.72,29736800,113.09,113.95,112.18,113.05,112.52,112.52,up
2016-10-05,113.4,113.66,112.69,113.05,107.76,21453100,113.95,112.18,113.05,112.52,113.0,113.0,up
2016-10-06,113.7,114.34,113.13,113.89,108.56,28779300,112.18,113.05,112.52,113.0,113.05,113.05,up
2016-10-07,114.31,114.56,113.51,114.06,108.73,24358400,113.05,112.52,113.0,113.05,113.89,113.89,up
2016-10-10,115.02,116.75,114.72,116.05,110.62,36236000,112.52,113.0,113.05,113.89,114.06,114.06,up
2016-10-11,117.7,118.69,116.2,116.3,110.86,64041000,113.0,113.05,113.89,114.06,116.05,116.05,up
2016-10-12,117.35,117.98,116.75,117.34,111.85,37586800,113.05,113.89,114.06,116.05,116.3,116.3,up
2016-10-13,116.79,117.44,115.72,116.98,111.51,35192400,113.89,114.06,116.05,116.3,117.34,117.34,down
2016-10-14,117.88,118.17,117.13,117.63,112.13,35652200,114.06,116.05,116.3,117.34,116.98,116.98,up
